code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000112615,серьги с11220638 (Au.585),Серьги,,Золото 585,1,1,14 Электрогорск:1,1,20572,2024-12-25,51430.0
000083619,серьги 831754 (Au.585),Серьги,,Золото 585,3,3,"18 Подружка:1, 11 Ногинск №3:1, 12 Воскресенск №2:1",1,20520,2025-11-21,37310.0
000103915,Кольцо 1110155,Кольца,,,3,1,17 Солнечногорск:3,1,20517,2025-05-18,56990.0
000117657,серьги 002-0252-0001-031 (Au.585),Серьги,,Золото 585,1,1,№1 Раменское №1:1,1,20502,2026-08-12,42713.3
000087794,кольцо 100-1309 (Au.585),Кольца,,Золото 585,3,3,"№4 Луховицы:1, №5 Озёры:1, 11 Ногинск №3:1",1,20475,2026-04-12,102375.0
000092277,кольцо 01-5682-00-401-1110 (Au.585),Кольца,,Золото 585,1,1,№1 Раменское №1:1,1,20438,2022-12-22,45417.6
000074300,кольцо (шт.) т141018748 (Au.585),Кольца,,Золото 585,1,1,15 Егорьевск №2:1,1,20436,2025-05-24,51090.0
000105902,кольцо 019342 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,20397,2025-09-12,67990.0
000001778,серьги кл1280а-28 топаз-лондон,Серьги,,,1,1,18 Подружка:1,1,20386,2017-03-08,26475.0
000075878,подвеска (шт.) т10106221 (Au.585),Подвески,,Золото 585,2,2,"18 Подружка:1, 14 Электрогорск:1",1,20362,2025-11-01,101810.0
000100481,колье 806-02472-10-00-20-00 (Au.585),Колье,,Золото 585,1,1,№5 Озёры:1,1,20351,2023-07-30,33919.0
000092774,кольцо 100-1636 (Au.585),Кольца,,Золото 585,3,3,"№1 Раменское №1:1, №5 Озёры:1, 11 Ногинск №3:1",1,20340,2025-11-11,101700.0
000117232,кольцо 001-1042-0000-214 (Au.585),Кольца,,Золото 585,1,1,№4 Луховицы:1,1,20335,2026-03-07,45188.1
000066029,кольцо (шт.) бр211227б (Au.585),Кольца,,Золото 585,2,2,"15 Егорьевск №2:1, 18 Подружка:1",1,20310,2024-11-30,101550.0
000119043,браслет 795086 (Au.585),Браслеты,,Золото 585,1,1,17 Солнечногорск:1,1,20293,2026-08-17,28990.0
000102954,серьги свп15-3 (Au.585),Серьги,,Золото 585,2,2,"№1 Раменское №1:1, 11 Ногинск №3:1",1,20275,2023-12-21,36863.0
000111588,браслет 02-044150-105002 (Ag.925),Браслеты,,Серебро 925,1,1,11 Ногинск №3:1,1,20262,2025-05-24,50656.0
000096176,колье (шт.) 61376-151-00-01 (Au.585),Колье,,Золото 585,2,2,"№1 Раменское №1:1, 11 Ногинск №3:1",1,20246,2023-12-12,36810.0
000102945,кольцо 100-1659 (Au.585),Кольца,,Золото 585,2,1,14 Электрогорск:2,1,20240,2025-01-05,50600.0
000087560,подвеска 03-2620 (Au.585),Подвески,,Золото 585,2,2,"№4 Луховицы:1, 18 Подружка:1",1,20200,2023-01-21,40400.0
000115157,кольцо вк-2163 (Au.585),Кольца,,Золото 585,3,3,"№1 Раменское №1:1, №5 Озёры:1, 11 Ногинск №3:1",1,20182,2026-02-26,44850.0
000024648,серьги кл1242а-3 аметист,Серьги,,,1,1,№1 Раменское №1:1,1,20177,2020-10-12,100886.0
000117394,кольцо 1012945-3 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,20154,2026-06-20,35990.0
000108579,серьги 140179 (Au.585),Серьги,,Золото 585,1,1,18 Подружка:1,1,20148,2025-04-20,50370.0
000115448,цепь 28-041140-105002 (Ag.925),Цепи,,Серебро 925,1,1,№4 Луховицы:1,1,20124,2026-06-09,44720.0
000086981,серьги 120021g908л (Au.585),Серьги,,Золото 585,1,1,18 Подружка:1,1,20010,2022-11-20,33350.0
000112687,серьги 0200653 (Au.585),Серьги,,Золото 585,1,1,№7 Егорьевск №1:1,1,19995,2025-09-15,39990.0
000099553,цепь 582040802пст-панцир (Au.585),Цепи,,Золото 585,1,1,№4 Луховицы:1,1,19992,2023-02-12,24990.0
000109972,кольцо 1011553 (Au.585),Кольца,,Золото 585,4,2,"№7 Егорьевск №1:2, 17 Солнечногорск:2",1,19990,2025-06-08,19990.0
000105686,кольцо 716724 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,19990,2026-06-22,75990.0
000114795,кольцо 1114002-01 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,19990,2026-03-09,39980.0
000100348,кольцо 120020g057л (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,19976,2025-09-23,44390.0
000117027,серьги 050132 (Au.585),Серьги,,Золото 585,1,1,№1 Раменское №1:1,1,19919,2026-07-24,44264.6
000116111,серьги с-0857 (Au.585),Серьги,,Золото 585,2,2,"15 Егорьевск №2:1, 14 Электрогорск:1",1,19881,2026-03-05,49703.1
000070307,серьги 200-1317 (Au.585),Серьги,,Золото 585,1,1,№4 Луховицы:1,1,19845,2023-06-07,44100.0
000104172,подвеска 6034059 (Au.585),Подвески,,Золото 585,1,1,17 Солнечногорск:1,1,19830,2023-12-30,67990.0
000087377,серьги 1201706 (Au.585),Серьги,,Золото 585,1,1,11 Ногинск №3:1,1,19828,2022-01-04,33047.2
000109095,серьги 0200397 (Au.585),Серьги,,Золото 585,1,1,№7 Егорьевск №1:1,1,19798,2025-02-15,109990.0
000105996,серьги 028573 (Au.585),Серьги,,Золото 585,1,1,17 Солнечногорск:1,1,19796,2024-06-28,54990.0
000105951,серьги 027255 (Au.585),Серьги,,Золото 585,1,1,17 Солнечногорск:1,1,19794,2025-04-10,32990.0
