code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000063756,цепь 1658050120 (Au.585),Цепи,,Золото 585,3,3,"15 Егорьевск №2:1, №1 Раменское №1:1, №4 Луховицы:1",74,2721158,2026-06-21,195750.0
000007844,серьги (шт.) т141027063 (Au.585),Серьги,,Золото 585,1,1,№4 Луховицы:1,74,1950360,2024-04-08,149360.0
000000309,браслет 106050,Браслеты,,,2,2,"12 Воскресенск №2:1, 14 Электрогорск:1",74,1351091,2023-11-16,63984.0
000000099,цепь нц18-028-3,Цепи,,,2,2,"№1 Раменское №1:1, 12 Воскресенск №2:1",74,763903,2025-01-11,130275.0
000061251,кольцо обр глк т10001225 (Au.585),Кольца,Обручальные,Золото 585,4,4,"№1 Раменское №1:1, №5 Озёры:1, 18 Подружка:1, 12 Воскресенск №2:1",74,583144,2023-05-06,22260.0
000095684,колье гш-2 (Ag.925),Колье,,Серебро 925,10,5,"11 Ногинск №3:3, №1 Раменское №1:2, 18 Подружка:2, 14 Электрогорск:2, 15 Егорьевск №2:1",74,56000,2026-07-16,1430.0
000091579,колье (шт.) ш-01р (Ag.925),Колье,,Серебро 925,10,3,"14 Электрогорск:7, 15 Егорьевск №2:2, 18 Подружка:1",74,36336,2026-06-12,1100.0
000034868,кольцо обр др/к (шт.) т0013-120 (Au.585),Кольца,Обручальные,Золото 585,3,1,№1 Раменское №1:3,73,1201598,2025-11-15,111800.0
000087111,браслет нб22-399ю-3 (Ag.925),Браслеты,,Серебро 925,7,5,"№4 Луховицы:2, №5 Озёры:2, №1 Раменское №1:1, 12 Воскресенск №2:1, 14 Электрогорск:1",73,158511,2024-10-03,6792.5
000104229,цепь 968530354 (Ag.925),Цепи,,Серебро 925,16,3,"17 Солнечногорск:10, №7 Егорьевск №1:5, 19 Истра:1",73,45499,2026-08-21,1580.0
000010182,серьги 94170004,Серьги,,,5,4,"18 Подружка:2, 15 Егорьевск №2:1, №1 Раменское №1:1, 14 Электрогорск:1",73,22117,2026-07-31,1507.0
000080307,серьги вс-2222ц (Au.585),Серьги,,Золото 585,7,4,"№4 Луховицы:2, №5 Озёры:2, 11 Ногинск №3:2, 12 Воскресенск №2:1",72,450080,2026-08-11,29818.6
000001725,подвеска 030731 д,Подвески,,,1,1,18 Подружка:1,72,158118,2022-12-18,6099.0
000083929,браслет 61206 (Ag.925),Браслеты,,Серебро 925,14,7,"№4 Луховицы:3, 15 Егорьевск №2:2, №5 Озёры:2, 11 Ногинск №3:2, 12 Воскресенск №2:2, 14 Электрогорск:2, №1 Раменское №1:1",72,149123,2025-02-22,10864.0
000050900,серьги вс-2410 (Au.585),Серьги,,Золото 585,3,3,"№1 Раменское №1:1, 18 Подружка:1, 11 Ногинск №3:1",71,1452830,2025-12-13,110860.0
000006003,цепь цлв10512040,Цепи,,,7,6,"11 Ногинск №3:2, 15 Егорьевск №2:1, №1 Раменское №1:1, №4 Луховицы:1, 18 Подружка:1, 12 Воскресенск №2:1",71,1042144,2026-08-10,93150.0
000061255,кольцо обр глк т100613928 (Au.585),Кольца,Обручальные,Золото 585,21,7,"12 Воскресенск №2:6, 18 Подружка:4, №4 Луховицы:3, 14 Электрогорск:3, №1 Раменское №1:2, 11 Ногинск №3:2, 15 Егорьевск №2:1",71,773404,2026-08-20,41399.1
000059967,кольцо вкс-2178ч/б (Ag.925),Кольца,,Серебро 925,3,3,"15 Егорьевск №2:1, №5 Озёры:1, 12 Воскресенск №2:1",71,93910,2025-12-28,6170.0
000020195,цепь 110405001,Цепи,,,8,6,"№5 Озёры:2, 18 Подружка:2, №1 Раменское №1:1, 11 Ногинск №3:1, 12 Воскресенск №2:1, 14 Электрогорск:1",70,1049479,2026-09-03,113424.0
000085943,цепь 9058045_р (Ag.925),Цепи,,Серебро 925,12,6,"№1 Раменское №1:3, №4 Луховицы:3, 12 Воскресенск №2:3, №5 Озёры:1, 18 Подружка:1, 14 Электрогорск:1",70,89700,2025-12-31,6688.0
000079952,кольцо обр 14-4-44р (Ag.925),Кольца,Обручальные,Серебро 925,12,4,"№4 Луховицы:5, 14 Электрогорск:3, №1 Раменское №1:2, 11 Ногинск №3:2",70,76382,2026-02-27,2960.0
